Head,Message,Type
Effect of high temperatures on COVID 19,Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19),Genuine
Effect of high temperatures on COVID 19,Taking a hot bath will not prevent you from catching COVID-19,Genuine
Recovery from the coronavirus disease,You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life.,Genuine
Holding your breath for 10 seconds,Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease.,Genuine
Drinking alcohol as a precaution,Drinking alcohol does not protect you against COVID-19 and can be dangerous,Genuine
Transmittion of virus in hot and humid climates,"From the evidence so far, the COVID-19 virus can be transmitted in ALL AREAS, including areas with hot and humid weather.",Genuine
Transmission through mosquito bites,To date there has been no information nor evidence to suggest that the new coronavirus could be transmitted by mosquitoes.,Genuine
Effect of cold temperatures on COVID 19,"There is no reason to believe that cold weather can kill the new coronavirus or other diseases. The normal human body temperature remains around 36.5°C to 37°C, regardless of the external temperature or weather.",Genuine
Effect of using hand dryers,Hand dryers are not effective in killing the 2019-nCoV.,Genuine
ultraviolet disinfection lamp,UV lamps should not be used to sterilize hands or other areas of skin as UV radiation can cause skin irritation.,Genuine
Detection through thermal scanners,Thermal scanners are effective in detecting people who have developed a fever (i.e. have a higher than normal body temperature) because of infection with the new coronavirus.,Genuine
Killing the virus by spraying alcohol or chlorine,"Spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body. Spraying such substances can be harmful to clothes or mucous membranes (i.e. eyes, mouth). Be aware that both alcohol and chlorine can be useful to disinfect surfaces, but they need to be used under appropriate recommendations.",Genuine
Coronavirus vaccine,"Vaccines against pneumonia, such as pneumococcal vaccine and Haemophilus influenza type B (Hib) vaccine  provide protection against the new coronavirus.",Fake
Preventing infection by rinsing your nose,"There is some limited evidence that regularly rinsing nose with saline can help people recover more quickly from the common cold. However, regularly rinsing the nose has not been shown to prevent respiratory infections.",Genuine
Preventing infection by eating garlic,"Garlic is a healthy food that may have some antimicrobial properties. However, there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus.",Genuine
All ages can be infected,"People of all ages can be infected by the new coronavirus (2019-nCoV). Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus. ",Genuine
Use of Antibiotics,"The new coronavirus (2019-nCoV) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.",Genuine
Medicines for prevention and treatment,"To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV).",Genuine
Health System Response Monitor,The COVID-19 Health System Response Monitor (HSRM) is a new online platform launched on 2nd April to provide countries and stakeholders in the WHO European Region with evidence of how national health systems are responding to the COVID-19 pandemic.The new website will systematically map and analyse health system responses to the pandemic across the Region. ,Genuine
Prince Charles recovery,"India’s Minister of State for AYUSH Shripad Naik held a press conference claiming that Prince Charles followed the rules of Ayurveda, due to which he is recovering so soon.",Fake
News about COVID-19, News about COVID-19 can only be shared after seeking the government’s permission.,Fake
